DZN,Mode,Persons
110158112,Motorbike/scooter,0
110158112,Bicycle,0
110158112,Walked only,23
110158112,Worked at home,54
110158113,Train,0
110158113,Bus,0
110158113,Ferry,0
110158113,Tram,0
110158113,Taxi,0
110158113,"Car, as driver",71
110158113,"Car, as passenger",9
110158113,Truck,0
110158113,Motorbike/scooter,0
110158113,Bicycle,0
110158113,Walked only,21
110158113,Worked at home,60
110158114,Train,0
110158114,Bus,0
110158114,Ferry,0
110158114,Tram,0
110158114,Taxi,0
110158114,"Car, as driver",107
110158114,"Car, as passenger",11
110158114,Truck,12
110158114,Motorbike/scooter,3
110158114,Bicycle,4
110158114,Walked only,18
110158114,Worked at home,96
110168103,Train,164
110168103,Bus,22
110168103,Ferry,0
110168103,Tram,4
110168103,Taxi,0
110168103,"Car, as driver",232
110168103,"Car, as passenger",83
110168103,Truck,0
110168103,Motorbike/scooter,0
110168103,Bicycle,4
110168103,Walked only,145
110168103,Worked at home,40
110168104,Train,0
110168104,Bus,0
110168104,Ferry,0
110168104,Tram,0
110168104,Taxi,0
110168104,"Car, as driver",33
110168104,"Car, as passenger",4
110168104,Truck,0
110168104,Motorbike/scooter,0
110168104,Bicycle,0
110168104,Walked only,21
110168104,Worked at home,37
110168105,Train,15
110168105,Bus,5
110168105,Ferry,0
110168105,Tram,0
110168105,Taxi,0
110168105,"Car, as driver",965
110168105,"Car, as passenger",84
110168105,Truck,7
110168105,Motorbike/scooter,0
110168105,Bicycle,22
110168105,Walked only,212
110168105,Worked at home,58
110168106,Train,0
110168106,Bus,0
110168106,Ferry,0
110168106,Tram,0
110168106,Taxi,0
110168106,"Car, as driver",107
110168106,"Car, as passenger",6
110168106,Truck,3
110168106,Motorbike/scooter,0
110168106,Bicycle,3
110168106,Walked only,22
110168106,Worked at home,61
110168107,Train,0
110168107,Bus,4
110168107,Ferry,0
110168107,Tram,0
110168107,Taxi,0
110168107,"Car, as driver",180
110168107,"Car, as passenger",3
110168107,Truck,0
110168107,Motorbike/scooter,0
110168107,Bicycle,0
110168107,Walked only,20
110168107,Worked at home,20
110168108,Train,4
110168108,Bus,3
110168108,Ferry,0
110168108,Tram,0
110168108,Taxi,0
110168108,"Car, as driver",215
110168108,"Car, as passenger",25
110168108,Truck,8
110168108,Motorbike/scooter,3
110168108,Bicycle,6
110168108,Walked only,45
110168108,Worked at home,94
110168109,Train,39
110168109,Bus,4
110168109,Ferry,0
110168109,Tram,3
110168109,Taxi,0
110168109,"Car, as driver",366
110168109,"Car, as passenger",135
110168109,Truck,0
110168109,Motorbike/scooter,0
110168109,Bicycle,0
110168109,Walked only,310
110168109,Worked at home,64
110178126,Train,0
110178126,Bus,26
110178126,Ferry,0
110178126,Tram,0
110178126,Taxi,3
110178126,"Car, as driver",3033
110178126,"Car, as passenger",246
110178126,Truck,45
110178126,Motorbike/scooter,13
110178126,Bicycle,23
110178126,Walked only,96
110178126,Worked at home,119
110188129,Train,0
110188129,Bus,8
110188129,Ferry,0
110188129,Tram,0
110188129,Taxi,4
110188129,"Car, as driver",728
110188129,"Car, as passenger",58
110188129,Truck,20
110188129,Motorbike/scooter,5
110188129,Bicycle,6
110188129,Walked only,61
110188129,Worked at home,126
110198157,Train,0
110198157,Bus,14
110198157,Ferry,0
110198157,Tram,0
110198157,Taxi,0
110198157,"Car, as driver",3329
110198157,"Car, as passenger",214
110198157,Truck,53
110198157,Motorbike/scooter,22
110198157,Bicycle,25
110198157,Walked only,176
110198157,Worked at home,113
110198158,Train,0
110198158,Bus,0
110198158,Ferry,0
110198158,Tram,0
110198158,Taxi,0
110198158,"Car, as driver",165
110198158,"Car, as passenger",10
110198158,Truck,4
110198158,Motorbike/scooter,0
110198158,Bicycle,5
110198158,Walked only,29
110198158,Worked at home,24
110198159,Train,0
110198159,Bus,4
110198159,Ferry,0
110198159,Tram,0
110198159,Taxi,0
110198159,"Car, as driver",103
110198159,"Car, as passenger",7
110198159,Truck,3
110198159,Motorbike/scooter,0
110198159,Bicycle,0
110198159,Walked only,16
110198159,Worked at home,59
110200001,Train,0
110200001,Bus,0
110200001,Ferry,0
110200001,Tram,0
110200001,Taxi,0
110200001,"Car, as driver",82
110200001,"Car, as passenger",5
110200001,Truck,0
110200001,Motorbike/scooter,0
110200001,Bicycle,0
110200001,Walked only,8
110200001,Worked at home,44
110208162,Train,0
110208162,Bus,0
110208162,Ferry,0
110208162,Tram,0
110208162,Taxi,0
110208162,"Car, as driver",41
110208162,"Car, as passenger",0
110208162,Truck,8
110208162,Motorbike/scooter,0
110208162,Bicycle,0
110208162,Walked only,4
110208162,Worked at home,44
110208163,Train,0
110208163,Bus,0
110208163,Ferry,0
110208163,Tram,0
110208163,Taxi,0
110208163,"Car, as driver",33
110208163,"Car, as passenger",3
110208163,Truck,0
110208163,Motorbike/scooter,0
110208163,Bicycle,0
110208163,Walked only,6
110208163,Worked at home,44
110208164,Train,0
110208164,Bus,5
110208164,Ferry,0
110208164,Tram,0
110208164,Taxi,0
110208164,"Car, as driver",119
110208164,"Car, as passenger",3
110208164,Truck,9
110208164,Motorbike/scooter,6
110208164,Bicycle,0
110208164,Walked only,24
110208164,Worked at home,74
110208165,Train,0
110208165,Bus,4
110208165,Ferry,0
110208165,Tram,0
110208165,Taxi,4
110208165,"Car, as driver",306
110208165,"Car, as passenger",15
110208165,Truck,14
110208165,Motorbike/scooter,11
110208165,Bicycle,0
110208165,Walked only,62
110208165,Worked at home,176
110208166,Train,0
110208166,Bus,0
110208166,Ferry,0
110208166,Tram,0
110208166,Taxi,0
110208166,"Car, as driver",46
110208166,"Car, as passenger",0
110208166,Truck,0
110208166,Motorbike/scooter,0
110208166,Bicycle,0
110208166,Walked only,0
110208166,Worked at home,21
110218132,Train,0
110218132,Bus,0
110218132,Ferry,0
110218132,Tram,0
110218132,Taxi,0
110218132,"Car, as driver",462
110218132,"Car, as passenger",25
110218132,Truck,11
110218132,Motorbike/scooter,0
110218132,Bicycle,21
110218132,Walked only,35
110218132,Worked at home,66
110228147,Train,0
110228147,Bus,0
110228147,Ferry,0
110228147,Tram,0
110228147,Taxi,0
110228147,"Car, as driver",7
110228147,"Car, as passenger",0
110228147,Truck,0
110228147,Motorbike/scooter,0
110228147,Bicycle,0
110228147,Walked only,0
110228147,Worked at home,0
110238175,Train,0
110238175,Bus,4
110238175,Ferry,0
110238175,Tram,0
110238175,Taxi,0
110238175,"Car, as driver",932
110238175,"Car, as passenger",60
110238175,Truck,21
110238175,Motorbike/scooter,6
110238175,Bicycle,0
110238175,Walked only,71
110238175,Worked at home,40
110248141,Train,0
110248141,Bus,0
110248141,Ferry,0
110248141,Tram,0
110248141,Taxi,0
110248141,"Car, as driver",33
110248141,"Car, as passenger",0
110248141,Truck,0
110248141,Motorbike/scooter,0
110248141,Bicycle,0
110248141,Walked only,9
110248141,Worked at home,21
110248142,Train,0
110248142,Bus,0
110248142,Ferry,0
110248142,Tram,0
110248142,Taxi,0
110248142,"Car, as driver",146
110248142,"Car, as passenger",9
110248142,Truck,3
110248142,Motorbike/scooter,0
110248142,Bicycle,0
110248142,Walked only,9
110248142,Worked at home,23
110248143,Train,0
110248143,Bus,0
110248143,Ferry,0
110248143,Tram,0
110248143,Taxi,0
110248143,"Car, as driver",57
110248143,"Car, as passenger",3
110248143,Truck,4
110248143,Motorbike/scooter,0
110248143,Bicycle,4
110248143,Walked only,14
110248143,Worked at home,54
110248144,Train,0
110248144,Bus,0
110248144,Ferry,0
110248144,Tram,0
110248144,Taxi,0
110248144,"Car, as driver",158
110248144,"Car, as passenger",0
110248144,Truck,3
110248144,Motorbike/scooter,0
110248144,Bicycle,4
110248144,Walked only,19
110248144,Worked at home,41
110258171,Train,0
110258171,Bus,8
110258171,Ferry,0
110258171,Tram,0
110258171,Taxi,0
110258171,"Car, as driver",610
110258171,"Car, as passenger",18
110258171,Truck,14
110258171,Motorbike/scooter,5
110258171,Bicycle,0
110258171,Walked only,34
110258171,Worked at home,63
110258172,Train,0
110258172,Bus,7
110258172,Ferry,0
110258172,Tram,0
110258172,Taxi,9
110258172,"Car, as driver",1745
110258172,"Car, as passenger",136
110258172,Truck,9
110258172,Motorbike/scooter,8
110258172,Bicycle,10
110258172,Walked only,146
110258172,Worked at home,191
110268135,Train,0
110268135,Bus,13
110268135,Ferry,0
110268135,Tram,0
110268135,Taxi,0
110268135,"Car, as driver",290
110268135,"Car, as passenger",33
110268135,Truck,6
110268135,Motorbike/scooter,3
110268135,Bicycle,0
110268135,Walked only,11
110268135,Worked at home,22
110268136,Train,0
110268136,Bus,15
110268136,Ferry,0
110268136,Tram,0
110268136,Taxi,0
110268136,"Car, as driver",1891
110268136,"Car, as passenger",127
110268136,Truck,30
110268136,Motorbike/scooter,12
110268136,Bicycle,22
110268136,Walked only,73
110268136,Worked at home,56
110268137,Train,0
110268137,Bus,0
110268137,Ferry,0
110268137,Tram,0
110268137,Taxi,0
110268137,"Car, as driver",73
110268137,"Car, as passenger",3
110268137,Truck,5
110268137,Motorbike/scooter,0
110268137,Bicycle,0
110268137,Walked only,8
110268137,Worked at home,60
110268138,Train,0
110268138,Bus,0
110268138,Ferry,0
110268138,Tram,0
110268138,Taxi,0
110268138,"Car, as driver",85
110268138,"Car, as passenger",11
110268138,Truck,0
110268138,Motorbike/scooter,0
110268138,Bicycle,0
110268138,Walked only,10
110268138,Worked at home,32
110278150,Train,0
110278150,Bus,0
110278150,Ferry,0
110278150,Tram,0
110278150,Taxi,0
110278150,"Car, as driver",254
110278150,"Car, as passenger",12
110278150,Truck,5
110278150,Motorbike/scooter,3
110278150,Bicycle,0
110278150,Walked only,15
110278150,Worked at home,26
110278151,Train,0
110278151,Bus,4
110278151,Ferry,0
110278151,Tram,0
110278151,Taxi,0
110278151,"Car, as driver",728
110278151,"Car, as passenger",55
110278151,Truck,12
110278151,Motorbike/scooter,6
110278151,Bicycle,4
110278151,Walked only,49
110278151,Worked at home,49
110278152,Train,0
110278152,Bus,6
110278152,Ferry,0
110278152,Tram,0
110278152,Taxi,0
110278152,"Car, as driver",253
110278152,"Car, as passenger",17
110278152,Truck,5
110278152,Motorbike/scooter,4
110278152,Bicycle,0
110278152,Walked only,25
110278152,Worked at home,97
110278153,Train,0
110278153,Bus,5
110278153,Ferry,0
110278153,Tram,0
110278153,Taxi,0
110278153,"Car, as driver",41
110278153,"Car, as passenger",0
110278153,Truck,0
110278153,Motorbike/scooter,0
110278153,Bicycle,0
110278153,Walked only,4
110278153,Worked at home,26
110278154,Train,0
110278154,Bus,0
110278154,Ferry,0
110278154,Tram,0
110278154,Taxi,0
110278154,"Car, as driver",282
110278154,"Car, as passenger",22
110278154,Truck,5
110278154,Motorbike/scooter,0
110278154,Bicycle,7
110278154,Walked only,23
110278154,Worked at home,48
110286283,Train,0
110286283,Bus,0
