DZN,Mode,Persons
110078098,Train,0
110078098,Bus,0
110078098,Ferry,0
110078098,Tram/light rail,0
110078098,Taxi/ride-share service,0
110078098,"Car, as driver",80
110078098,"Car, as passenger",0
110078098,Truck,8
110078098,Motorbike/scooter,0
110078098,Bicycle,0
110078098,Walked only,13
110078098,Worked at home,83
110078099,Train,0
110078099,Bus,3
110078099,Ferry,0
110078099,Tram/light rail,0
110078099,Taxi/ride-share service,0
110078099,"Car, as driver",465
110078099,"Car, as passenger",21
110078099,Truck,16
110078099,Motorbike/scooter,0
110078099,Bicycle,0
110078099,Walked only,82
110078099,Worked at home,99
110078100,Train,0
110078100,Bus,0
110078100,Ferry,0
110078100,Tram/light rail,0
110078100,Taxi/ride-share service,0
110078100,"Car, as driver",149
110078100,"Car, as passenger",13
110078100,Truck,0
110078100,Motorbike/scooter,9
110078100,Bicycle,0
110078100,Walked only,23
110078100,Worked at home,127
110088084,Train,0
110088084,Bus,4
110088084,Ferry,0
110088084,Tram/light rail,0
110088084,Taxi/ride-share service,0
110088084,"Car, as driver",719
110088084,"Car, as passenger",57
110088084,Truck,12
110088084,Motorbike/scooter,0
110088084,Bicycle,3
110088084,Walked only,30
110088084,Worked at home,116
110090001,Train,0
110090001,Bus,8
110090001,Ferry,0
110090001,Tram/light rail,0
110090001,Taxi/ride-share service,3
110090001,"Car, as driver",897
110090001,"Car, as passenger",59
110090001,Truck,18
110090001,Motorbike/scooter,0
110090001,Bicycle,4
110090001,Walked only,32
110090001,Worked at home,76
110090002,Train,0
110090002,Bus,46
110090002,Ferry,0
110090002,Tram/light rail,0
110090002,Taxi/ride-share service,12
110090002,"Car, as driver",1931
110090002,"Car, as passenger",216
110090002,Truck,8
110090002,Motorbike/scooter,13
110090002,Bicycle,6
110090002,Walked only,177
110090002,Worked at home,148
110090003,Train,3
110090003,Bus,4
110090003,Ferry,0
110090003,Tram/light rail,0
110090003,Taxi/ride-share service,0
110090003,"Car, as driver",907
110090003,"Car, as passenger",38
110090003,Truck,9
110090003,Motorbike/scooter,3
110090003,Bicycle,8
110090003,Walked only,53
110090003,Worked at home,273
110108087,Train,0
110108087,Bus,13
110108087,Ferry,0
110108087,Tram/light rail,0
110108087,Taxi/ride-share service,10
110108087,"Car, as driver",2419
110108087,"Car, as passenger",190
110108087,Truck,44
110108087,Motorbike/scooter,24
110108087,Bicycle,15
110108087,Walked only,39
110108087,Worked at home,166
110120001,Train,0
110120001,Bus,11
110120001,Ferry,0
110120001,Tram/light rail,0
110120001,Taxi/ride-share service,0
110120001,"Car, as driver",549
110120001,"Car, as passenger",76
110120001,Truck,11
110120001,Motorbike/scooter,0
110120001,Bicycle,4
110120001,Walked only,27
110120001,Worked at home,179
110120002,Train,0
110120002,Bus,3
110120002,Ferry,0
110120002,Tram/light rail,0
110120002,Taxi/ride-share service,4
110120002,"Car, as driver",1346
110120002,"Car, as passenger",51
110120002,Truck,42
110120002,Motorbike/scooter,13
110120002,Bicycle,3
110120002,Walked only,19
110120002,Worked at home,58
110138120,Train,0
110138120,Bus,0
110138120,Ferry,0
110138120,Tram/light rail,0
110138120,Taxi/ride-share service,0
110138120,"Car, as driver",73
110138120,"Car, as passenger",0
110138120,Truck,6
110138120,Motorbike/scooter,4
110138120,Bicycle,0
110138120,Walked only,13
110138120,Worked at home,26
110138121,Train,0
110138121,Bus,0
110138121,Ferry,0
110138121,Tram/light rail,0
110138121,Taxi/ride-share service,0
110138121,"Car, as driver",387
110138121,"Car, as passenger",12
110138121,Truck,11
110138121,Motorbike/scooter,0
110138121,Bicycle,0
110138121,Walked only,36
110138121,Worked at home,31
110138122,Train,0
110138122,Bus,0
110138122,Ferry,0
110138122,Tram/light rail,0
110138122,Taxi/ride-share service,0
110138122,"Car, as driver",63
110138122,"Car, as passenger",0
110138122,Truck,3
110138122,Motorbike/scooter,0
110138122,Bicycle,0
110138122,Walked only,17
110138122,Worked at home,56
110138123,Train,0
110138123,Bus,0
110138123,Ferry,0
110138123,Tram/light rail,0
110138123,Taxi/ride-share service,0
110138123,"Car, as driver",190
110138123,"Car, as passenger",13
110138123,Truck,6
110138123,Motorbike/scooter,0
110138123,Bicycle,0
110138123,Walked only,0
110138123,Worked at home,26
110148117,Train,0
110148117,Bus,37
110148117,Ferry,0
110148117,Tram/light rail,0
110148117,Taxi/ride-share service,12
110148117,"Car, as driver",2714
110148117,"Car, as passenger",234
110148117,Truck,15
110148117,Motorbike/scooter,21
110148117,Bicycle,10
110148117,Walked only,211
110148117,Worked at home,361
110158114,Train,0
110158114,Bus,0
110158114,Ferry,0
110158114,Tram/light rail,0
110158114,Taxi/ride-share service,0
110158114,"Car, as driver",129
110158114,"Car, as passenger",12
110158114,Truck,11
110158114,Motorbike/scooter,5
110158114,Bicycle,0
110158114,Walked only,20
110158114,Worked at home,108
110158115,Train,0
110158115,Bus,0
110158115,Ferry,0
110158115,Tram/light rail,0
110158115,Taxi/ride-share service,0
110158115,"Car, as driver",69
110158115,"Car, as passenger",0
110158115,Truck,3
110158115,Motorbike/scooter,0
110158115,Bicycle,0
110158115,Walked only,15
110158115,Worked at home,72
110158116,Train,0
110158116,Bus,17
110158116,Ferry,0
110158116,Tram/light rail,0
110158116,Taxi/ride-share service,0
110158116,"Car, as driver",108
110158116,"Car, as passenger",26
110158116,Truck,7
110158116,Motorbike/scooter,3
110158116,Bicycle,0
110158116,Walked only,24
