LGA_HTS_CODE,LGA_HTS,LGA_16_CODE,LGA_16,LGA_24_CODE,LGA_24,SA2_16_CODE,SA2_16,SA2_LGA_weight,CO2_weighted,CO2_total,SA2_LGA_CO2_ratio,CO2_total_car,CO2_total_car_prop
2850,Fairfield,12850,Fairfield (C),127021509,Fairfield,127021509,Bonnyrigg Heights - Bonnyrigg,0.079391892,127.3662876,1604.273237,0.069661539,1550.721776,0.966619488
2850,Fairfield,12850,Fairfield (C),127021510,Fairfield,127021510,Bossley Park - Abbotsbury,0.093571145,147.8653453,1580.24512,0.053640607,1541.550254,0.975513377
2850,Fairfield,12850,Fairfield (C),127021511,Fairfield,127021511,Cabramatta - Lansvale,0.122754372,167.1160837,1361.386002,-0.092285396,1305.432743,0.958899784
2850,Fairfield,12850,Fairfield (C),127021512,Fairfield,127021512,Cabramatta West - Mount Pritchard,0.085393482,133.3103137,1561.12985,0.040895353,1517.67528,0.972164667
2850,Fairfield,12850,Fairfield (C),127021513,Fairfield,127021513,Canley Vale - Canley Heights,0.103433029,152.82413,1477.51769,-0.014853699,1415.745129,0.958191661
2850,Fairfield,12850,Fairfield (C),127021514,Fairfield,127021514,Edensor Park,0.048549285,78.42007152,1615.26728,0.076991902,1564.825639,0.968771954
2850,Fairfield,12850,Fairfield (C),127021515,Fairfield,127021515,Fairfield,0.087957075,121.6758907,1383.355355,-0.07763716,1317.38711,0.952312871
2850,Fairfield,12850,Fairfield (C),127021516,Fairfield,127021516,Fairfield - West,0.094833068,143.4863896,1513.041733,0.008832231,1463.562892,0.967298429
2850,Fairfield,12850,Fairfield (C),127021517,Fairfield,127021517,Greenfield Park - Prairiewood,0.041414944,64.44133651,1555.992361,0.037469893,1503.272416,0.966118121
2850,Fairfield,12850,Fairfield (C),127021518,Fairfield,127021518,Horsley Park - Kemps Creek,0.021989269,35.38244284,1609.07772,0.072864966,1587.020577,0.986292058
2850,Fairfield,12850,Fairfield (C),127021519,Fairfield,127021519,Smithfield - Wetherill Park,0.089651232,133.5669187,1489.850342,-0.006630807,1449.698073,0.973049461
2850,Fairfield,12850,Fairfield (C),127021520,Fairfield,127021520,St Johns Park - Wakeley,0.053984499,84.50734969,1565.400277,0.043742694,1507.198053,0.96281959
4900,Liverpool,14900,Liverpool (C),127031522,Liverpool,127031522,Casula,0.077451868,132.6279367,1712.391711,0.006171546,1652.880615,0.965246798
4900,Liverpool,14900,Liverpool (C),127031523,Liverpool,127031523,Chipping Norton - Moorebank,0.092718703,153.7479149,1658.218999,-0.025659396,1600.427368,0.965148373
4900,Liverpool,14900,Liverpool (C),127031524,Liverpool,127031524,Holsworthy - Wattle Grove,0.102402042,176.9858732,1728.343202,0.015544365,1644.463427,0.951468103
4900,Liverpool,14900,Liverpool (C),127031598,Liverpool,127031598,Liverpool,0.134379806,188.93726,1405.994439,-0.173862154,1337.387498,0.951203974
4900,Liverpool,14900,Liverpool (C),127031599,Liverpool,127031599,Lurnea - Cartwright,0.057793406,98.16682783,1698.581804,-0.001942914,1653.775842,0.973621546
4900,Liverpool,14900,Liverpool (C),127031600,Liverpool,127031600,Prestons - Edmondson Park,0.08694233,161.8285107,1861.331652,0.093686062,1797.301017,0.965599556
4900,Liverpool,14900,Liverpool (C),127031601,Liverpool,127031601,Warwick Farm,0.028674154,33.07057247,1153.323389,-0.322327263,1070.29648,0.92801073
7150,Sutherland Shire,17150,Sutherland Shire (A),128011529,Sutherland,128011529,Gymea - Grays Point,0.080235579,115.9822845,1445.521874,-0.000246828,1394.217604,0.964508133
7150,Sutherland Shire,17150,Sutherland Shire (A),128011530,Sutherland,128011530,Miranda - Yowie Bay,0.083682969,106.0569995,1267.366595,-0.123462746,1224.285887,0.966007699
7150,Sutherland Shire,17150,Sutherland Shire (A),128011531,Sutherland,128011531,Sylvania - Taren Point,0.073170956,109.0651817,1490.552915,0.030897582,1456.177983,0.976938134
7150,Sutherland Shire,17150,Sutherland Shire (A),128011602,Sutherland,128011602,Caringbah,0.054001451,69.78637936,1292.305634,-0.106214385,1248.184216,0.965858372
7150,Sutherland Shire,17150,Sutherland Shire (A),128011603,Sutherland,128011603,Caringbah South,0.055351028,83.24030129,1503.861885,0.040102344,1465.440011,0.974451195
7150,Sutherland Shire,17150,Sutherland Shire (A),128011604,Sutherland,128011604,Cronulla - Kurnell - Bundeena,0.107814695,153.1308489,1420.315189,-0.017680299,1371.18592,0.965409601
7150,Sutherland Shire,17150,Sutherland Shire (A),128011605,Sutherland,128011605,Lilli Pilli - Port Hacking - Dolans Bay,0.014455166,21.98554452,1520.947218,0.051918918,1486.100457,0.977088777
7150,Sutherland Shire,17150,Sutherland Shire (A),128011606,Sutherland,128011606,Woolaware - Burraneer,0.035474601,51.59753787,1454.492409,0.005957382,1414.764393,0.972685993
7150,Sutherland Shire,17150,Sutherland Shire (A),128021533,Sutherland,128021533,Heathcote - Waterfall,0.029855953,45.98147545,1540.110793,0.065172848,1488.135477,0.966252223
7150,Sutherland Shire,17150,Sutherland Shire (A),128021534,Sutherland,128021534,Illawong - Alfords Point,0.047584073,74.67645898,1569.358281,0.085401022,1522.968016,0.970439978
7150,Sutherland Shire,17150,Sutherland Shire (A),128021535,Sutherland,128021535,Menai - Lucas Heights - Woronora,0.096985944,149.5281383,1541.75061,0.066306979,1493.034759,0.96840225
7150,Sutherland Shire,17150,Sutherland Shire (A),128021536,Sutherland,128021536,Oyster Bay - Como - Jannali,0.097564334,139.7848749,1432.745647,-0.009083134,1351.287961,0.943145745
7150,Sutherland Shire,17150,Sutherland Shire (A),128021538,Sutherland,128021538,Sutherland - Kirrawee,0.095819983,128.1436895,1337.337844,-0.075069166,1259.729511,0.941968042
7150,Sutherland Shire,17150,Sutherland Shire (A),128021607,Sutherland,128021607,Engadine,0.078000055,119.1547969,1527.624524,0.056537083,1475.272714,0.965729923
7150,Sutherland Shire,17150,Sutherland Shire (A),128021608,Sutherland,128021608,Loftus - Yarrawarrah,0.03326662,50.8462118,1528.445385,0.057104807,1463.824019,0.957720854
7150,Sutherland Shire,17150,Sutherland Shire (A),128021609,Sutherland,128021609,Woronora Heights,0.016736594,26.9180336,1608.334025,0.112357462,1554.202682,0.96634322
